source,target,type,timestamp,phase,note,youtube
8,1,past_collab,Early May 2026,Pre-Debate,Joint anti-Islam livestreams — prior collaborative relationship before the schism,
1,8,attacks,"~May 12, 2026",Pre-Debate,Motive & grift accusations — catalyst event that triggered the broader conflict,
1,7,attacks,"May 1–12, 2026",Pre-Debate,Ongoing criticism and blocking behavior — ecclesiology critique and 'helping Dawah' accusation,
1,7,attacks,"May 14, 2026",Post-Debate,Continued attacks and blocking behavior targeting Wood's network post-debate,
6,7,debates,"May 13, 2026",Debate,Live YouTube debate: 'Why Are OrthoBros Helping Jihadis?',
2,7,attacks,"May 13, 2026",Debate,Multiple reaction Spaces: 'Andrew Wilson Puts Wood In The Chipper' — high-engagement Orthobros content,
3,7,attacks,"May 13, 2026",Debate,Criticized Wood's debate performance — strong Dyer-aligned rebuttal,
4,1,defends,"May 13, 2026",Debate,Strong Dyer supporter — thread defense across debate and post-debate phases,
5,1,defends,"May 14, 2026",Post-Debate,High-engagement support post amplifying Dyer's position,
8,7,defends,"May 14, 2026",Post-Debate,GodLogic supported by Wood — featured in Wood's May 14 post,
9,7,collaborates,Long-term,Pre-Debate,Prominent Evangelical apologist — frequent collaborator mentioned in the debate space,
10,7,collaborates,Long-term,Pre-Debate,Ex-Muslim apologist — long-term anti-Islam content collaborator with Wood,
13,1,questions,"May 14, 2026",Post-Debate,Neutral pushback questioning Dyer's post-debate behavior,
13,7,questions,"May 14, 2026",Post-Debate,Neutral pushback questioning Wood's framing post-debate,
14,1,questions,"May 13, 2026",Debate,Consistent neutral activity in Dyer's threads during the debate phase,
15,1,questions,"May 14, 2026",Post-Debate,Commented on Dyer's pattern of mass-blocking critics,
16,7,questions,"May 13, 2026",Debate,Active replier in Wood's debate threads without strong alignment,
17,1,questions,"May 14, 2026",Post-Debate,Commented on Dyer's blocking behavior post-debate,
18,1,questions,"May 12, 2026",Pre-Debate,Critic of Dyer's obsession with conflict — early pre-debate skepticism,
19,7,questions,"May 13, 2026",Debate,Active in debate threads around Wood,
20,7,questions,"May 13, 2026",Debate,Posted in Wood's debate threads,
21,1,questions,"May 13, 2026",Debate,Engaged in discussion around Dyer,
22,1,questions,"May 13, 2026",Debate,Active commenter in Dyer's debate threads,
23,1,questions,"May 13, 2026",Debate,Historical context comment in Dyer's threads,
24,1,questions,"May 14, 2026",Post-Debate,Active replier in Dyer's post-debate threads,
25,7,questions,"May 13, 2026",Debate,Good faith debate participant in Wood's threads,
26,1,questions,"May 13, 2026",Debate,Commented on grift claims in Dyer's threads,
27,1,questions,"May 14, 2026",Post-Debate,Inquirer in Dyer's post-debate threads,
28,1,repost,"May 14, 2026",Post-Debate,Reposted Jay Dyer content,
29,7,repost,"May 14, 2026",Post-Debate,Reposted David Wood content,
30,1,repost,"May 14, 2026",Post-Debate,Reposted Jay Dyer blocking discussion,
31,7,repost,"May 14, 2026",Post-Debate,Reposted David Wood support post,
32,5,repost,"May 14, 2026",Post-Debate,Reposted C2Antiquity's high-engagement Dyer support post,
33,2,repost,"May 13, 2026",Debate,Reposted ByJimbob's reaction Space content,
34,1,repost,"May 14, 2026",Post-Debate,Reposted blocking discussion content,
35,8,repost,"May 14, 2026",Post-Debate,Reposted GodLogic's support post for Wood,
7,36,quotes,"May 16, 2026",Post-Debate,David Wood quoted AL_J82 criticizing Eastern Orthodoxy,
37,1,questions,"May 16, 2026",Post-Debate,Gallysback publicly asked Jay Dyer why he was blocked,
38,1,questions,"May 16, 2026",Post-Debate,isuch_lenoob engaged in theological debate with the Dyer side,
16,1,repost,"May 16, 2026",Post-Debate,Reposted Jay Dyer's provocative posts,
19,7,repost,"May 16, 2026",Post-Debate,Reposted David Wood's response to Orthodoxy criticism,
11,7,collaborates,May 2026,Post-Debate,JPuncut (Truth Cartel) aligned with David Wood's anti-Orthobros campaign — hosted streams amplifying Wood-side critique,
11,12,collaborates,May 2026,Post-Debate,JPuncut hosted Mauler for the debate against Andrew Wilson on the Truth Cartel channel,
12,6,debates,May 2026,Post-Debate,Mauler debated Andrew Wilson in a JPuncut-hosted stream — a second front in the Orthobros debate,
11,6,attacks,May 2026,Post-Debate,JPuncut's Truth Cartel channel framed the Mauler vs Andrew Wilson debate as anti-Orthobros content,
1,7,attacks,"June 14, 2026",Post-Debate,"Dyer: Wood can't articulate Protestant basics / just learned Orthodoxy, but wants icons debate after declining earlier offers — frames Wood as bad-faith",
7,1,attacks,"June 20, 2026",Post-Debate,Wood hosts Orthodoxy / Orthobros critique series; invites Orthobros to defend; features Joshua Schooping (ex-Orthodox priest),
