id,name,handle,cluster,influence_score,description,youtube_activity
1,Jay_Dyer,@JayDyer,Dyer,5,"Central Orthobros figure and public blocker. Initiated attacks on GodLogic and Wood in May; continued through summer (icons-debate framing, GodLogic grifter claims, Aug 2–3 streams refuting GodLogic & Trent Horn). Highest centrality in the conflict network.",
2,ByJimbob,@ByJimbob,Dyer,4,Orthodox content creator. May 13 reaction Spaces ('Andrew Wilson Puts Wood In The Chipper'); summer posts amplifying Dyer (incl. Tucker appearance) and sparring over Orthobro critiques.,
3,Orthodox_Elijah,@Orthodox_Elijah,Dyer,3,"Strong Dyer defender. Criticized Wood's debate performance on May 13, actively countering the Wood side.",
4,Epkon406,@Epkon406,Dyer,3,Dyer supporter active across both debate and post-debate phases. Consistent thread defense of the Orthobros position.,
5,C2Antiquity,@C2Antiquity,Dyer,4,Strong public Dyer/Orthobros defender. May 14 high-engagement support posts; Aug 3 streams rebutting GodLogic claims that Orthobros are 'worse than Muslims' / churchless apologetics.,
6,Andrew_Wilson,The Crucible,Dyer,3,Orthodox debater. Faced David Wood in the live May 13 YouTube debate 'Why Are OrthoBros Helping Jihadis?' — formal representative of the Orthobros side. Subsequently debated Mauler in a May 2026 stream hosted by JPuncut (Truth Cartel).,
7,David_Wood,@Acts17David,Wood,5,"Central Wood-side figure. May 13 debate + '10 Problems with Eastern Orthodoxy' series; June Orthodoxy critique streams (incl. Schooping); July defense of GodLogic against Sam Shamoun; multi-apologist lives with GodLogic, Apostate Prophet, InspiringPhilosophy. Scheduled icons debate framing vs Dyer (reported Oct).",
8,GodLogic_GL,@GodLogic_GL,Wood,4,"Major catalyst. Past collab with Dyer, then attacked over grift accusations and aligned with Wood. Summer 2026: target of renewed Orthobros + Sam Shamoun critique; defended by Wood; subject of Dyer 'refuted' streams and C2Antiquity rebuttals.",
9,Sam_Shamoun,@shamounian,Neutral,4,Prominent apologist and former close Wood collaborator. July 2026: publicly attacked GodLogic (grifter claims); Wood accused Sam of aligning with Dawah + Orthobros against Avery. Dyer claimed Aug 2 that Sam 'came around' on GodLogic. Now a contested bridge/split node rather than pure Wood loyalist.,
10,Apostate_Prophet,@ApostateProphet,Wood,4,Ex-Muslim Christian apologist; long-term Wood collaborator. Appeared on July 28 Wood live with GodLogic and InspiringPhilosophy — signaling continued Wood-circle cohesion after the Shamoun split.,
11,JPuncut,@JPuncut,Wood,4,Main anti-Orthobro protagonist operating under the Truth Cartel banner. Hosted and co-debated the May 2026 stream pitting Mauler against Andrew Wilson — significant Wood-aligned content hub.,
12,Mauler,,Wood,3,"Critic of Orthobros. Debated Andrew Wilson in a May 2026 stream hosted by JPuncut, reinforcing the Wood-aligned critique of the Orthobros position.",
13,Cinemanarchism,@Cinemanarchism,Neutral,3,"Consistent neutral commenter. Pushed back on both Dyer and Wood post-debate, questioning both sides' conduct.",
14,ICXC_Zachariah,@ICXC_Zachariah,Neutral,3,Active neutral engager. Consistent neutral activity in Dyer's debate-phase threads without aligning with either faction.,
15,GaryColeman_5640,@GaryColeman5640,Neutral,2,Blocking discussion participant. Commented on Dyer's pattern of mass-blocking critics post-debate.,
16,VikingPrime,@VikingPrime,Neutral,2,Active replier in Wood's debate-phase threads. Engaged without strongly committing to either side.,
17,ObiWanSunobi,@ObiWanSunobi,Neutral,2,Observed and commented on Dyer's blocking behavior post-debate.,
18,d_bahler,@d_bahler,Neutral,2,"Early critic of Dyer's obsession with conflict, questioning the pattern before the debate phase began.",
19,Mormonger,@Mormonger,Neutral,2,Active in debate threads around David Wood during the May 13 debate phase.,
20,conny_trades,@conny_trades,Neutral,2,Posted in David Wood's debate threads on May 13.,
21,JustinPhoster,@JustinPhoster,Neutral,2,Engaged in discussion around Jay Dyer during the May 13 debate phase.,
22,onedrunkpirate,@onedrunkpirate,Neutral,2,Active commenter in Dyer's threads during the May 13 debate phase.,
23,ThomasG130,@ThomasG130,Neutral,2,Provided historical context commentary in Jay Dyer's debate-phase threads.,
24,RevRushdoony,@RevRushdoony,Neutral,2,Active replier in Dyer's threads during the post-debate phase.,
25,DeuceBigalowEO,@DeuceBigalowEO,Neutral,2,Good faith debate participant in Wood's May 13 threads.,
26,Jewbusiness_guy,@Jewbusinessguy,Neutral,2,Commented on grift claims in Dyer's debate-phase threads.,
27,altaccount_5674,@altaccount5674,Neutral,1,Low-influence account. Inquirer in Dyer's post-debate threads.,
28,Reposter,,Neutral,1,Reposted Jay Dyer content during the post-debate phase.,
29,Reposter,,Neutral,1,Reposted David Wood content during the post-debate phase.,
30,Reposter,,Neutral,1,Reposted Jay Dyer blocking discussion during the post-debate phase.,
31,Reposter,,Neutral,1,Reposted David Wood support post during the post-debate phase.,
32,Reposter,,Neutral,1,Reposted C2Antiquity's high-engagement Dyer support post.,
33,Reposter,,Neutral,1,Reposted ByJimbob's reaction Space content.,
34,Reposter,,Neutral,1,Reposted blocking discussion content.,
35,Reposter,,Neutral,1,Reposted GodLogic's support post for Wood.,
36,AL_J82,@AL_J82,Neutral,2,Criticized Orthodox focus. Quoted by David Wood on May 16 in a post criticizing Eastern Orthodoxy.,
37,Gallysback,@Gallysback,Neutral,2,Publicly asked Jay Dyer why he had been blocked — May 16 post-debate fallout.,
38,isuch_lenoob,@isuch_lenoob,Neutral,2,Active in theological replies engaging with the Dyer side in post-debate threads (May 16).,
39,Inspiring_Philosophy,@InspiringPhilos,Wood,4,Michael Jones — philosophy/apologetics YouTuber. Joined David Wood live July 28 with GodLogic and Apostate Prophet; Wood-circle collaborator in the summer phase.,
40,Joshua_Schooping,,Wood,3,Former Orthodox priest featured on David Wood's June 20 Orthodoxy critique stream series explaining why he left Eastern Orthodoxy — Wood-side content ammunition.,
41,Trent_Horn,,Neutral,3,Catholic apologist. Named target of Jay Dyer's Aug 3–4 stream ('Godlogic & Trent Horn Refuted') — secondary front in the summer content war.,
